 MACD, MACD-C3,MA5, TS-9, TS-6,Corp 3,Corp2,MA10,Target,CLOSE,Date
1.11,2.11,5.2,0,0,-1,0,3.4,0,337,300
0.95,1.95,3.9,1,1,-1,1,2.2,0,339,299
0.28,1.28,2.6,1,1,-1,1,0.8,1,331.5,298
0.1,-0.9,1.3,1,1,1,0,0.65,1,319,297
0.37,-0.63,1.7,0,0,1,0,0.9,1,313.5,296
0.36,1.36,1.6,1,0,-1,0,0.4,0,316,295
0.35,1.35,0.5,0,0,-1,0,0.1,0,313,294
-0.09,-1.09,-1,1,1,1,-1,-0.75,0,312,293
-0.08,-1.08,0,0,0,1,0,-0.8,1,306,292
-0.06,-0.06,0.1,0,0,0,1,-0.35,0,307,291
-0.25,-1.25,-0.8,0,0,1,1,-0.2,0,307.5,290
0,0,-0.3,-1,-1,0,1,0.6,0,305,289
0.03,-0.97,-0.5,0,0,1,0,0.7,-1,309.5,288
-0.16,-1.16,-1.6,1,0,1,0,0.2,0,311,287
-0.25,0.75,-0.8,0,0,-1,0,0.6,1,307,286
-0.2,-1.2,0.4,0,0,1,-1,0.35,0,307,285
-0.17,-1.17,1.5,0,0,1,1,0.2,0,309,284
0.14,-0.86,1.9,0,0,1,1,0.25,0,311,283
0.39,1.39,2,0,0,-1,0,0.45,0,313.5,282
0.24,1.24,2,1,0,-1,1,0.4,0,315,281
0.06,1.06,0.3,1,0,-1,1,0.8,1,311,280
-0.18,0.82,-1.1,1,0,-1,0,0.5,1,307,279
-0.26,-0.26,-1.4,0,0,0,0,0.45,1,303.5,278
-0.26,-0.26,-1.1,0,0,0,1,0.65,0,304,277
-0.57,-1.57,-1.2,1,0,1,-1,0.65,0,305,276
-0.32,-1.32,1.3,-1,-1,1,1,1.2,1,301,275
-0.1,-0.1,2.1,-1,0,0,1,1.6,-1,305.5,274
0.19,-0.81,2.3,0,0,1,1,1.8,-1,309,273
0.38,-0.62,2.4,0,0,1,1,1.65,0,311,272
0.34,-0.66,2.5,1,1,1,0,1.7,0,310.5,271
-0.12,-0.12,1.1,1,1,0,1,0.6,1,307,270
-0.01,0.99,1.1,0,0,-1,0,0.5,1,299,269
0.03,1.03,1.3,0,0,-1,0,0.3,0,298.5,268
0.08,1.08,0.9,0,0,-1,-1,0.5,0,299.5,267
-0.12,-0.12,0.9,1,1,0,-1,0.45,0,298.5,266
-0.19,-0.19,0.1,0,0,0,-1,1.15,1,294.5,265
-0.26,-0.26,-0.1,0,0,0,-1,0.65,0,293.5,264
-0.31,0.69,-0.7,0,0,-1,0,1.5,0,293,263
-0.24,-0.24,0.1,0,0,0,0,1.75,0,293,262
-0.55,-1.55,0,1,1,1,0,1.35,0,294,261
-0.31,0.69,2.2,-1,0,-1,-1,1.35,1,290,260
-0.21,-1.21,1.4,0,0,1,0,1.35,-1,293,259
0.19,1.19,3.7,-1,0,-1,-1,2.45,0,293.5,258
0.29,-0.71,3.4,1,0,1,0,2.55,-1,296.5,257
0.3,-0.7,2.7,1,1,1,1,2.4,1,293.5,256
-0.07,0.93,0.5,1,1,-1,1,1.7,1,290,255
0.32,1.32,1.3,-1,-1,-1,0,2.25,1,282,254
-0.08,0.92,1.2,1,1,-1,1,1.4,-1,286.5,253
-0.11,-1.11,1.7,0,0,1,1,1.15,1,278,252
-0.11,-1.11,2.1,0,0,1,1,0.95,0,276.5,251
0.35,1.35,2.9,-1,0,-1,1,1.45,0,276.5,250
0.55,1.55,3.2,0,0,-1,1,1.45,-1,279.5,249
0.28,0.28,1.6,1,1,0,1,0.95,0,280,248
0.12,1.12,0.6,1,1,-1,1,0.5,1,272,247
-0.09,0.91,-0.2,0,0,-1,1,0.45,1,268,246
-0.15,0.85,0,0,0,-1,0,0,0,266,245
-0.24,-0.24,-0.3,0,0,0,-1,0.05,0,265,244
-0.22,-1.22,0.3,0,0,1,1,0.1,0,264,243
-0.16,0.84,0.4,0,0,-1,1,0.75,0,264,242
0.06,1.06,1.1,0,0,-1,-1,1.3,0,265,241
-0.05,-0.05,0,0,0,0,0,0.75,0,267,240
-0.04,-0.04,0.4,0,0,0,0,0.65,0,265,239
-0.14,-1.14,-0.1,1,0,1,1,0.85,0,265.5,238
-0.12,0.88,1.1,0,0,-1,1,1.1,1,262.5,237
-0.16,-1.16,1.5,0,0,1,-1,1.15,0,263,236
0.17,1.17,1.5,-1,-1,-1,1,1.65,0,261.5,235
0.26,1.26,0.9,0,0,-1,1,0.95,-1,265,234
0.37,1.37,1.8,0,0,-1,1,0.9,0,263.5,233
0.05,-0.95,1.1,1,1,1,1,0.3,0,263,232
-0.08,-1.08,0.8,1,0,1,1,-0.05,1,257.5,231
0.18,-0.82,1.8,-1,-1,1,0,0.55,1,254,230
0.41,-0.59,1,0,0,1,0,0.9,-1,257.5,229
0.15,0.15,0,1,1,0,0,0.6,0,259,228
0.08,1.08,-0.5,0,0,-1,1,0.25,1,254,227
-0.11,0.89,-0.9,0,0,-1,1,0.35,0,252,226
-0.27,-0.27,-0.7,0,0,0,1,-0.25,0,250,225
0.07,-0.93,0.8,-1,-1,1,1,0.05,0,248.5,224
0.23,1.23,1.2,0,0,-1,1,0.6,-1,254,223
0.27,1.27,1,0,0,-1,0,0.6,0,254,222
0.38,1.38,1.6,0,0,-1,0,0.8,0,254.5,221
0.32,0.32,0.2,1,0,0,1,0.05,0,254.5,220
0.23,0.23,-0.7,0,0,0,0,-0.65,0,252,219
0.01,1.01,0,0,0,-1,-1,-1.15,0,250,218
0.23,0.23,0.2,0,0,0,1,-1.05,0,248,217
-0.09,-1.09,0,1,0,1,0,-1.45,0,249.5,216
0.23,1.23,-0.1,-1,-1,-1,-1,-1,1,246.5,215
0.28,1.28,-0.6,-1,0,-1,1,-1.15,-1,251,214
-0.08,0.92,-2.3,1,1,-1,-1,-1.7,0,253.5,213
-0.41,-1.41,-2.3,0,0,1,1,-1.55,1,248,212
-0.64,-1.64,-2.9,0,0,1,-1,-1.75,0,248.5,211
-0.61,-1.61,-1.9,-1,-1,1,-1,-0.75,0,246.5,210
